,販売者記入欄                                ,,,,,,,,共通記入箇所,COMBASE記入欄（金額は全て税込）,,,,,,,,,,,売上管理（販売者記入欄）,,,,,,
日付,"SKU,品名",販路,送付先・購入者,,,,送付情報,,備考・連絡事項,発送,追跡番号,納品予定,発注,サイズ,仕入,送料,手数料,写真,支払,支払額合計,売上,入金額,受取送料,粗利,利益率,,
,,,,都道府県,地域,地域＋サイズ,メーカー,品番・個数,,,,,,,"¥292,500","¥1,740",¥0,"¥9,680",,"¥303,920",¥0,#N/A,¥0,#N/A,,,
,,,"〒 259-1311
神奈川県秦野市弥生町　8-13-3
合同会社リユースポート",,,,,,"・発注は随時
・出荷は毎週金
・各種料金体系は通常シートと同じ",,,,,,¥0,0,0,¥0,,¥0,,,,¥0,¥0,,4
1,"
03-12271-10072",その他,"〒 259-1311
神奈川県秦野市弥生町　8-13-3
合同会社リユースポート",神奈川県,,80,ホンダ,54102-SL0-003ZB,付箋番号1,済,4516-1534-2916,11/05,済,80,"¥8,900",0,0,¥0,,"¥8,900",,#N/A,,#N/A,,5,済
1,26-12246-36773,その他,同上,,,,三菱,8260A406,"付箋番号2
写真撮影（下敷き)　撮影済み。",済,4516-1534-2916,11/05,済,,"¥5,700",0,0,¥440,,"¥6,140",,#N/A,,#N/A,,6,済
1,03-12273-02428,その他,同上,,,,トヨタ,33504-12830-C0,付箋番号3,済,4516-1534-2916,11/6,済,,"¥11,300",0,0,¥0,,"¥11,300",,#N/A,,#N/A,,7,済
1,"
17-12257-82394",その他,同上,,,,トヨタ,42603-52170 4個,付箋番号4,済,4516-1534-2916,11/05,済,,"¥5,200",0,0,¥0,,"¥5,200",,#N/A,,#N/A,,8,済
2,"
16-12259-40078",その他,同上,,,,ホンダ,90017-PCX-013,"付箋番号5
写真撮影（下敷き)　
撮影済み",済,4516-1534-2916,11/06,済,,¥800,0,0,¥440,,"¥1,240",,#N/A,,#N/A,,9,済
2,25-12250-68830,その他,同上,,,,トヨタ,42603-52170 4個,付箋番号6,済,4516-1534-2916,11/05,済,,"¥5,200",0,0,¥0,,"¥5,200",,#N/A,,#N/A,,10,済
2,20-12257-14222,その他,同上,,,,トヨタ,75314-30060,"付箋番号7
写真撮影（下敷き)　
撮影済み。",済,4516-1534-2916,11/05,済,,"¥1,700",0,0,¥440,,"¥2,140",,#N/A,,#N/A,,11,済
3,25-12253-48942,その他,同上,,,,トヨタ,75314-30060,付箋番号8,済,4516-1534-2916,11/05,済,,"¥1,700",0,0,¥0,,"¥1,700",,#N/A,,#N/A,,12,済
3,16-12263-66307,その他,在庫,,,,ホンダ,39624-T5A-J01,"在庫としてください
写真撮影（下敷き)
撮影済み。",保管,,11/06,済,,¥900,0,0,¥440,,"¥1,340",,#N/A,,#N/A,,13,保管
3,23-12257-20567,その他,同上,,,,ホンダ,"22821-PPP-000
22835-P0S-000",付箋番号10,済,4516-1534-2916,11/06,済,,"¥2,500",0,0,¥0,,"¥2,500",,#N/A,,#N/A,,14,済
3,27-12253-92790,その他,同上,,,,ホンダ,79601-S2A-911　2個,"付箋番号11
写真撮影（下敷き)　
撮影済み。",済,4516-1534-2916,11/06,済,,"¥1,600",0,0,¥440,,"¥2,040",,#N/A,,#N/A,,15,済
4,18-12265-72057,その他,同上,,,,ホンダ,28900-RYF-023,"付箋番号12  
写真撮影（下敷き)　
撮影済み。",済,4516-1534-2916,11/06,済,,"¥6,400",0,0,¥440,,"¥6,840",,#N/A,,#N/A,,16,済
